domain,entity,grain,field_name,display_name,data_type,unit,key_role,required,io_role,candidate_source,refresh,aggregation_or_rule,current_prototype_mapping,alignment_status,used_by
master,dim_station,station,commission_date,投运日期,date,,attribute,no,input,asset register or EAM,on change,no aggregation,not available,to align,asset register
master,dim_station,station,lifecycle_status,生命周期状态,enum,,attribute,yes,input,asset register or EAM,on change,in construction operating retired,implicit operating,to align,overview composition
master,dim_station,station,wind_capacity_mw,风电装机容量,decimal,MW,measure,conditional,input,asset register or EAM,on change,sum by scope,stationRecords.capacity,available in prototype,overview composition
master,dim_station,station,turbine_count,风机数量,integer,unit,measure,conditional,derived,asset register or EAM,on change,count active wind assets,stationRecords.turbines,available in prototype,overview composition
master,dim_station,station,storage_power_mw,储能额定功率,decimal,MW,measure,conditional,input,asset register or EAM,on change,sum by scope,stationRecords.power,available in prototype,overview composition
master,dim_station,station,storage_energy_mwh,储能额定容量,decimal,MWh,measure,conditional,input,asset register or EAM,on change,sum by scope,stationRecords.energy,available in prototype,overview composition
master,dim_station,station,source_updated_at,主数据更新时间,datetime,,attribute,yes,input,asset register or EAM,on change,max for freshness,not available,to align,all pages
master,dim_asset,wind turbine or storage station,asset_id,资产ID,string,,PK,yes,input,EAM or SCADA,on change,no aggregation,wind IDs only in operationsData comparison,to align,operations
master,dim_asset,wind turbine or storage station,asset_code,资产编码,string,,business key,yes,input,EAM or SCADA,on change,no aggregation,WT IDs partial,to align,operations
master,dim_asset,wind turbine or storage station,asset_name,资产名称,string,,attribute,yes,input,EAM or SCADA,on change,no aggregation,partial comparison labels,partially available,operations
master,dim_asset,wind turbine or storage station,station_id,所属电站,string,,FK,yes,input,EAM or SCADA,on change,join dim_station,comparison second column for wind only,partially available,operations
master,dim_asset,wind turbine or storage station,asset_level,资产层级,enum,,dimension,yes,input,metric dictionary,on change,wind_turbine or storage_station,implicit,to align,operations
master,dim_asset,wind turbine or storage station,manufacturer,制造商,string,,attribute,no,input,EAM,on change,no aggregation,not available,optional,asset details
master,dim_asset,wind turbine or storage station,model,型号,string,,attribute,no,input,EAM,on change,no aggregation,not available,optional,asset details
master,dim_asset,wind turbine or storage station,rated_power_mw,额定功率,decimal,MW,measure,conditional,input,EAM,on change,sum when valid,not available,to align,operations
master,dim_asset,wind turbine or storage station,rated_energy_mwh,额定容量,decimal,MWh,measure,conditional,input,EAM,on change,sum for storage,not available,to align,operations
master,dim_asset,wind turbine or storage station,commission_date,投运日期,date,,attribute,no,input,EAM,on change,no aggregation,not available,to align,asset details
metric,dim_metric,metric,metric_code,指标代码,string,,PK,yes,input,metric governance,on change,no aggregation,JS object keys partial,to align,all pages
metric,dim_metric,metric,metric_name,指标名称,string,,attribute,yes,input,metric governance,on change,no aggregation,hardcoded labels,available in prototype,all pages
metric,dim_metric,metric,domain,指标域,enum,,dimension,yes,input,metric governance,on change,asset finance operation maintenance,implicit,to align,all pages
metric,dim_metric,metric,applicable_asset_type,适用资产类型,enum,,dimension,yes,input,metric governance,on change,wind storage common,split JS objects,available in prototype,all pages
metric,dim_metric,metric,unit,单位,string,,attribute,yes,input,metric governance,on change,no aggregation,partially hardcoded,partially available,all pages
metric,dim_metric,metric,direction,指标方向,enum,,attribute,yes,input,metric governance,on change,higher_better lower_better neutral,hardcoded in renderer,to align,status and ranking
metric,dim_metric,metric,aggregation_method,聚合方法,enum,,attribute,yes,input,metric governance,on change,sum weighted_ratio average latest,implicit and inconsistent,to align,all pages
metric,dim_metric,metric,numerator_metric_code,分子指标,string,,FK,no,input,metric governance,on change,for ratio metrics,not available,to align,operations
metric,dim_metric,metric,denominator_metric_code,分母指标,string,,FK,no,input,metric governance,on change,for ratio metrics,not available,to align,operations
target,fact_target_monthly,scope x month x metric x version,target_version,目标版本,string,,PK,yes,input,budget or approved target,on approval,no aggregation,not available,to align,all target displays
target,fact_target_monthly,scope x month x metric x version,scope_type,目标对象层级,enum,,PK,yes,input,budget or approved target,on approval,portfolio province station asset,implicit type total,to align,all target displays
target,fact_target_monthly,scope x month x metric x version,scope_id,目标对象ID,string,,PK,yes,input,budget or approved target,on approval,join relevant dimension,not available,to align,all target displays
target,fact_target_monthly,scope x month x metric x version,stat_month,目标月份,YYYY-MM,,PK,yes,input,budget or approved target,on approval,no aggregation,targetMonthly array index,partially available,all target displays
target,fact_target_monthly,scope x month x metric x version,metric_code,目标指标,string,,PK,yes,input,budget or approved target,on approval,join dim_metric,margin only explicit,partially available,all target displays
target,fact_target_monthly,scope x month x metric x version,monthly_target_value,当月目标,decimal,metric unit,measure,yes,input,budget or approved target,on approval,sum for YTD,targetMonthly array at type level,partially available,all target displays
target,fact_target_monthly,scope x month x metric x version,cumulative_target_value,累计目标,decimal,metric unit,measure,no,derived,budget or approved target,on approval,sum monthly target through month,businessData.target type total,derived in prototype,all target displays
target,fact_target_monthly,scope x month x metric x version,annual_target_value,全年目标,decimal,metric unit,measure,yes,input,budget or approved target,on approval,approved annual value,businessData.annual type total,partially available,finance
target,fact_target_monthly,scope x month x metric x version,approved_at,批准时间,datetime,,attribute,yes,input,budget or approved target,on approval,latest effective version,not available,to align,governance
finance,fact_finance_monthly,station x month x finance item x version,station_id,电站ID,string,,PK FK,yes,input,ERP or finance monthly report,monthly close,join dim_station,stationRecords.id but not monthly,partially available,pages 1 to 4
finance,fact_finance_monthly,station x month x finance item x version,stat_month,财务月份,YYYY-MM,,PK,yes,input,ERP or finance monthly report,monthly close,no aggregation,businessData monthly index only,to align,pages 1 to 4
finance,fact_finance_monthly,station x month x finance item x version,finance_item_code,财务科目,string,,PK FK,yes,input,ERP or finance monthly report,monthly close,join dim_finance_item,bridge and settlement labels partial,partially available,business and settlement
finance,fact_finance_monthly,station x month x finance item x version,actual_amount_cny,实际金额,decimal,CNY,measure,yes,input,ERP or finance monthly report,monthly close,sum by scope and period,static revenue cost margin values,partially available,pages 1 to 4
finance,fact_finance_monthly,station x month x finance item x version,accounting_version,核算版本,string,,PK,yes,input,ERP or finance monthly report,monthly close,use latest approved and retain history,not available,to align,governance
finance,fact_finance_monthly,station x month x finance item x version,is_closed,是否关账,boolean,,attribute,yes,input,ERP or finance monthly report,monthly close,no aggregation,not available,to align,business
finance,fact_finance_monthly,station x month x finance item x version,source_document_id,来源单据ID,string,,attribute,no,input,ERP or finance monthly report,monthly close,no aggregation,not available,to align,audit
wind,fact_wind_station_monthly,wind station x month,station_id,风电场ID,string,,PK FK,yes,input,SCADA or production report,monthly,join dim_station,stationRecords.id,available in prototype,pages 1 3 4
wind,fact_wind_station_monthly,wind station x month,stat_month,统计月份,YYYY-MM,,PK,yes,input,SCADA or production report,monthly,no aggregation,not available,to align,pages 1 3 4
wind,fact_wind_station_monthly,wind station x month,gross_generation_mwh,发电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum by scope,not available,to align,overview operations
wind,fact_wind_station_monthly,wind station x month,on_grid_energy_mwh,上网电量,decimal,MWh,measure,yes,input,metering or production report,monthly,sum by scope,front end capacity estimate,to align,overview operations
wind,fact_wind_station_monthly,wind station x month,theoretical_energy_mwh,理论可发电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum denominator,not available,to align,operations
wind,fact_wind_station_monthly,wind station x month,available_hours,可运行时长,decimal,h,measure,yes,input,SCADA or production report,monthly,sum numerator,not available,to align,operations
wind,fact_wind_station_monthly,wind station x month,statistical_hours,统计时长,decimal,h,measure,yes,input,SCADA or production report,monthly,sum denominator,not available,to align,operations
wind,fact_wind_station_monthly,wind station x month,curtailed_energy_mwh,限电量,decimal,MWh,measure,yes,input,SCADA or production report,monthly,sum by scope,not available,to align,operations
wind,fact_wind_station_monthly,wind station x month,planned_loss_energy_mwh,计划损失电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum by scope,not available,to align,operations
wind,fact_wind_station_monthly,wind station x month,unplanned_loss_energy_mwh,非计划损失电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum by scope,not available,to align,operations
wind,fact_wind_turbine_monthly,wind turbine x month,asset_id,风机ID,string,,PK FK,yes,input,SCADA or production report,monthly,join dim_asset,WT IDs partial,partially available,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,stat_month,统计月份,YYYY-MM,,PK,yes,input,SCADA or production report,monthly,no aggregation,2025-07 implicit,to align,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,on_grid_energy_mwh,单机上网电量,decimal,MWh,measure,yes,input,SCADA or production report,monthly,sum by scope,not available,to align,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,available_hours,单机可运行时长,decimal,h,measure,yes,input,SCADA or production report,monthly,sum numerator,not available,to align,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,statistical_hours,单机统计时长,decimal,h,measure,yes,input,SCADA or production report,monthly,sum denominator,not available,to align,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,curtailed_energy_mwh,单机限电量,decimal,MWh,measure,yes,input,SCADA or production report,monthly,sum by scope,comparison rate only,partially available,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,planned_loss_energy_mwh,单机计划损失电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum by scope,not available,to align,operations comparison
wind,fact_wind_turbine_monthly,wind turbine x month,unplanned_loss_energy_mwh,单机非计划损失电量,decimal,MWh,measure,no,input,SCADA or production report,monthly,sum by scope,comparison rate only,partially available,operations comparison
storage,fact_storage_station_monthly,storage station x month,station_id,储能单站ID,string,,PK FK,yes,input,EMS or metering,monthly,join dim_station,stationRecords.id,available in prototype,pages 1 3 4
storage,fact_storage_station_monthly,storage station x month,stat_month,统计月份,YYYY-MM,,PK,yes,input,EMS or metering,monthly,no aggregation,not available,to align,pages 1 3 4
storage,fact_storage_station_monthly,storage station x month,charge_energy_mwh,充电电量,decimal,MWh,measure,yes,input,EMS or metering,monthly,sum by scope,front end capacity estimate,to align,operations
storage,fact_storage_station_monthly,storage station x month,discharge_energy_mwh,放电电量,decimal,MWh,measure,yes,input,EMS or metering,monthly,sum by scope,front end capacity estimate,to align,operations
storage,fact_storage_station_monthly,storage station x month,equivalent_cycles,等效循环次数,decimal,cycle,measure,no,input,EMS,monthly,sum then divide by days for daily average,not available,to align,operations
storage,fact_storage_station_monthly,storage station x month,available_capacity_mwh,可用容量,decimal,MWh,measure,yes,input,EMS or capacity test,monthly,sum numerator when aggregating,not available,to align,operations
storage,fact_storage_station_monthly,storage station x month,rated_capacity_mwh,额定容量,decimal,MWh,measure,yes,input,asset register,monthly,sum denominator when aggregating,stationRecords.energy,available in prototype,operations
storage,fact_storage_station_monthly,storage station x month,available_hours,可用时长,decimal,h,measure,yes,input,EMS,monthly,sum numerator,not available,to align,operations
storage,fact_storage_station_monthly,storage station x month,statistical_hours,统计时长,decimal,h,measure,yes,input,EMS,monthly,sum denominator,not available,to align,operations
storage,fact_storage_station_monthly,storage station x month,charge_cost_cny,充电成本,decimal,CNY,measure,no,input,settlement or trading,monthly,sum by scope,not available,to align,storage business
storage,fact_storage_station_monthly,storage station x month,discharge_revenue_cny,放电收入,decimal,CNY,measure,no,input,settlement or trading,monthly,sum by scope,not available,to align,storage business
status,fact_asset_status_monthly,asset x month,asset_id,资产ID,string,,PK FK,yes,input,EAM and semantic rules,monthly,join dim_asset,stationRecords.id used at station grain,to align,overview map and detail
status,fact_asset_status_monthly,asset x month,stat_month,状态月份,YYYY-MM,,PK,yes,input,EAM and semantic rules,monthly,latest in selected month,implicit current,to align,overview map and detail
status,fact_asset_status_monthly,asset x month,source_status,源系统状态,enum,,attribute,yes,input,EAM,monthly,no aggregation,not available,to align,asset details
status,fact_asset_status_monthly,asset x month,calculated_status,计算状态,enum,,attribute,yes,derived,semantic rules,monthly,bad dominates watch dominates good,stationRecords.status,available in prototype,all pages
status,fact_asset_status_monthly,asset x month,status_reason_code,状态原因代码,string,,attribute,no,input,EAM and semantic rules,monthly,no aggregation,ops text used as reason,partially available,hover and anomaly
status,fact_asset_status_monthly,asset x month,data_availability_status,数据可用状态,enum,,attribute,yes,derived,data platform,monthly,available partial missing,not available,to align,all pages
maintenance,fact_maintenance_monthly,asset x month,asset_id,资产ID,string,,PK FK,yes,input,CMMS or EAM,monthly,join dim_asset,anomaly label partial,partially available,station analysis
maintenance,fact_maintenance_monthly,asset x month,stat_month,统计月份,YYYY-MM,,PK,yes,input,CMMS or EAM,monthly,no aggregation,implicit 2025-07,to align,station analysis
maintenance,fact_maintenance_monthly,asset x month,fault_count,故障次数,integer,count,measure,yes,input,CMMS or EAM,monthly,sum by scope,maintenance array first value is attention asset count not faults,to align,station analysis
maintenance,fact_maintenance_monthly,asset x month,repaired_fault_count,已修复故障数,integer,count,measure,yes,input,CMMS or EAM,monthly,sum denominator for MTTR,not available,to align,station analysis
maintenance,fact_maintenance_monthly,asset x month,total_repair_hours,故障修复总时长,decimal,h,measure,yes,input,CMMS or EAM,monthly,sum numerator for MTTR,MTTR fixed only,to align,station analysis
maintenance,fact_maintenance_monthly,asset x month,planned_downtime_hours,计划停机时长,decimal,h,measure,no,input,CMMS or EAM,monthly,sum by scope,not available,to align,station analysis
maintenance,fact_maintenance_monthly,asset x month,unplanned_downtime_hours,非计划停机时长,decimal,h,measure,yes,input,CMMS or EAM,monthly,sum by scope,maintenance fixed loss hours,partially available,station analysis
maintenance,fact_maintenance_monthly,asset x month,open_work_order_count,未关闭工单数,integer,count,measure,no,input,CMMS or EAM,monthly,sum by scope,not available,future not V2,maintenance future
settlement,fact_settlement_monthly,station x month x item x document,settlement_document_id,结算单ID,string,,PK,yes,input,settlement register or ERP,on receipt,no aggregation,not available,to align,station settlement
settlement,fact_settlement_monthly,station x month x item x document,station_id,电站ID,string,,PK FK,yes,input,settlement register or ERP,on receipt,join dim_station,only asset type fixed,to align,station settlement
settlement,fact_settlement_monthly,station x month x item x document,stat_month,结算月份,YYYY-MM,,PK,yes,input,settlement register or ERP,on receipt,no aggregation,implicit current,to align,station settlement
settlement,fact_settlement_monthly,station x month x item x document,settlement_item_code,结算科目,string,,PK FK,yes,input,settlement register or ERP,on receipt,join finance item,settlementData labels,available in prototype,station settlement
settlement,fact_settlement_monthly,station x month x item x document,actual_amount_cny,本月实际,decimal,CNY,measure,yes,input,settlement register or ERP,on receipt,sum by station month item,settlementData fixed values,partially available,station settlement
settlement,fact_settlement_monthly,station x month x item x document,target_amount_cny,本月目标,decimal,CNY,measure,no,input,budget target,on receipt,sum by station month item,settlementData fixed values,partially available,station settlement
settlement,fact_settlement_monthly,station x month x item x document,settlement_status,结算状态,enum,,attribute,yes,input,settlement register or ERP,on receipt,pending provisional final adjusted,not available,to align,station settlement
settlement,fact_settlement_monthly,station x month x item x document,note,结算说明,string,,attribute,no,input,settlement register or ERP,on receipt,no aggregation,settlementData explanation,available in prototype,station settlement
